id	name	description
10	FUNCTION: 5-(carboxyamino)imidazole ribonucleotide synthase. N(5)-CAIR synthetase. N(5)-carboxyaminoimidazole ribonucleotide synthetase.	FUNCTION: 5-(carboxyamino)imidazole ribonucleotide synthase. N(5)-CAIR synthetase. N(5)-carboxyaminoimidazole ribonucleotide synthetase. In Escherichia coli, this enzyme, along with EC 5.4.99.18, is required to carry out the single reaction catalyzed by EC 4.1.1.21 in vertebrates. Carboxyphosphate is the putative acyl phosphate intermediate. Involved in the late stages of purine biosynthesis.
11	FUNCTION: Transferred entry: 3.1.21.10. 	FUNCTION: Transferred entry: 3.1.21.10.  
12	FUNCTION: aralkylamine N-acetyltransferase. AANAT. arylalkylamine N-acetyltransferase. melatonin rhythm enzyme. serotonin acetylase. serotonin acetyltransferase. serotonin N-acetyltransferase.	FUNCTION: aralkylamine N-acetyltransferase. AANAT. arylalkylamine N-acetyltransferase. melatonin rhythm enzyme. serotonin acetylase. serotonin acetyltransferase. serotonin N-acetyltransferase. Narrow specificity toward 2-arylethylamines, including serotonin (5-hydroxytryptamine), tryptamine, 5-methoxytryptamine and phenylethylamine. This is the penultimate enzyme in the production of melatonin (5-methoxy-N-acetyltryptamine) and controls its synthesis (cf. EC 2.1.1.4). Differs from EC 2.3.1.5.
13	FUNCTION: pantetheine-phosphate adenylyltransferase. 3'-dephospho-CoA pyrophosphorylase. dephospho-CoA diphosphorylase. dephospho-CoA pyrophosphorylase. dephospho-coenzyme A pyrophosphorylase. phosphopantetheine adenylyltransferase. PPAT.	FUNCTION: pantetheine-phosphate adenylyltransferase. 3'-dephospho-CoA pyrophosphorylase. dephospho-CoA diphosphorylase. dephospho-CoA pyrophosphorylase. dephospho-coenzyme A pyrophosphorylase. phosphopantetheine adenylyltransferase. PPAT. The enzyme from several bacteria (e.g. Escherichia coli, Bacillus subtilis and Haemophilus influenzae) has been shown to be bifunctional and also to possess the activity of EC 2.3.1.157.
14	FUNCTION: cellulase. avicelase. beta-1,4-endoglucan hydrolase. beta-1,4-glucanase. carboxymethyl cellulase. celludextrinase. endo-1,4-beta-D-glucanase. endo-1,4-beta-D-glucanohydrolase. endo-1,4-beta-glucanase. endoglucanase.	FUNCTION: cellulase. avicelase. beta-1,4-endoglucan hydrolase. beta-1,4-glucanase. carboxymethyl cellulase. celludextrinase. endo-1,4-beta-D-glucanase. endo-1,4-beta-D-glucanohydrolase. endo-1,4-beta-glucanase. endoglucanase. Will also hydrolyze 1,4-linkages in beta-D-glucans also containing 1,3-linkages.
15	FUNCTION: glucokinase. glucose kinase.	FUNCTION: glucokinase. glucose kinase. A group of enzymes found in invertebrates and microorganisms highly specific for glucose.
16	FUNCTION: palmitoyl-CoA hydrolase. long-chain fatty-acyl-CoA hydrolase.	FUNCTION: palmitoyl-CoA hydrolase. long-chain fatty-acyl-CoA hydrolase. Also hydrolyzes CoA thioesters of other long-chain fatty acids.
17	FUNCTION: H(+)-transporting two-sector ATPase. ATP synthase. chloroplast ATPase. F0F1-ATPase. F1-ATPase. FoF1-ATPase. H(+)-transporting ATPase. H(+)-transporting ATP synthase. mitochondrial ATPase.	FUNCTION: H(+)-transporting two-sector ATPase. ATP synthase. chloroplast ATPase. F0F1-ATPase. F1-ATPase. FoF1-ATPase. H(+)-transporting ATPase. H(+)-transporting ATP synthase. mitochondrial ATPase. A multisubunit non-phosphorylated ATPase that is involved in the transport of ions. Large enzymes of mitochondria, chloroplasts and bacteria with a membrane sector (Fo, Vo, Ao) and a cytoplasmic-compartment sector (F1, V1, A1). The F-type enzymes of the inner mitochondrial and thylakoid membranes act as ATP synthases. All of the enzymes included here operate in a rotational mode, where the extramembrane sector (containing 3 alpha- and 3 beta-subunits) is connected via the delta-subunit to the membrane sector by several smaller subunits. Within this complex, the gamma- and epsilon-subunits, as well as the 9-12 c subunits rotate by consecutive 120 degree angles and perform parts of ATP synthesis. This movement is driven by the H(+) electrochemical potential gradient. The V-type (in vacuoles and clathrin-coated vesicles) and A-type (archaeal) enzymes have a similar structure but, under physiological conditions, they pump H(+) rather than synthesize ATP. Formerly EC 3.6.1.34 and EC 3.6.3.14.
18	FUNCTION: cGMP-dependent protein kinase. 3':5'-cyclic GMP-dependent protein kinase. cGMP-dependent protein kinase Ibeta. guanosine 3':5'-cyclic monophosphate-dependent protein kinase. PKG. PKG 1alpha. PKG 1beta. PKG II.	FUNCTION: cGMP-dependent protein kinase. 3':5'-cyclic GMP-dependent protein kinase. cGMP-dependent protein kinase Ibeta. guanosine 3':5'-cyclic monophosphate-dependent protein kinase. PKG. PKG 1alpha. PKG 1beta. PKG II. cGMP is required to activate this enzyme. The enzyme occurs as a dimer in higher eukaryotes. The C-terminal region of each polypeptide chain contains the catalytic domain that includes the ATP and protein substrate binding sites. This domain catalyzes the phosphorylation by ATP to specific serine or threonine residues in protein substrates. The enzyme also has two allosteric cGMP-binding sites (sites A and B). Binding of cGMP causes a conformational change that is associated with activation of the kinase. Formerly EC 2.7.1.37.
19	FUNCTION: glucan 1,4-alpha-glucosidase. 4-alpha-D-glucan glucohydrolase. amyloglucosidase. exo-1,4-alpha-glucosidase. gamma-amylase. glucoamylase. lysosomal alpha-glucosidase.	FUNCTION: glucan 1,4-alpha-glucosidase. 4-alpha-D-glucan glucohydrolase. amyloglucosidase. exo-1,4-alpha-glucosidase. gamma-amylase. glucoamylase. lysosomal alpha-glucosidase. Most forms of the enzyme can rapidly hydrolyze 1,6-alpha-D-glucosidic bonds when the next bond in the sequence is 1,4, and some preparations of this enzyme hydrolyze 1,6- and 1,3-alpha-D-glucosidic bonds in other polysaccharides. This entry covers all such enzymes acting on polysaccharides more rapidly than on oligosaccharides. EC 3.2.1.20 from mammalian intestine can catalyze similar reactions.
20	FUNCTION: heme oxygenase (biliverdin-producing). heme oxidase. heme oxygenase. heme oxygenase (decyclizing).	FUNCTION: heme oxygenase (biliverdin-producing). heme oxidase. heme oxygenase. heme oxygenase (decyclizing). This mammalian enzyme participates in the degradation of heme. The terminal oxygen atoms that are incorporated into the carbonyl groups of pyrrole rings A and B of biliverdin are derived from two separate oxygen molecules. The third oxygen molecule provides the oxygen atom that converts the alpha-carbon to CO. The enzyme requires NAD(P)H and EC 1.6.2.4. Cf. EC 1.14.15.20. Formerly EC 1.14.99.3.
21	FUNCTION: diaminopimelate decarboxylase. DAP decarboxylase. meso-2,6-diaminoheptanedioate carboxy-lyase.	FUNCTION: diaminopimelate decarboxylase. DAP decarboxylase. meso-2,6-diaminoheptanedioate carboxy-lyase. 
22	FUNCTION: molybdopterin synthase. MPT synthase.	FUNCTION: molybdopterin synthase. MPT synthase. Catalyzes the synthesis of molybdopterin from cyclic pyranopterin phosphate. Two sulfur atoms are transferred to cyclic pyranopterin phosphate in order to form the characteristic ene-dithiol group found in the molybdenum cofactor. Molybdopterin synthase consists of two large subunits forming a central dimer and two small subunits (molybdopterin-synthase sulfur- carrier proteins) that are thiocarboxylated at the C-terminus by EC 2.8.1.11, molybdopterin synthase sulfurtransferase. The reaction occurs in prokaryotes and eukaryotes.
23	FUNCTION: beta-lactamase. cephalosporinase. penicillinase.	FUNCTION: beta-lactamase. cephalosporinase. penicillinase. Zinc is only requires in class-B enzymes. A group of enzymes of varying specificity hydrolyzing beta-lactams; some act more rapidly on penicillins, some more rapidly on cephalosporins. Formerly EC 3.5.2.8.
24	FUNCTION: guanylate cyclase. guanyl cyclase. guanylyl cyclase.	FUNCTION: guanylate cyclase. guanyl cyclase. guanylyl cyclase. Also acts on ITP and dGTP.
25	FUNCTION: threonine--tRNA ligase. threonine translase. threonyl-tRNA synthetase.	FUNCTION: threonine--tRNA ligase. threonine translase. threonyl-tRNA synthetase. 
26	FUNCTION: phenylalanine 4-monooxygenase. PAH. phenylalaninase. phenylalanine 4-hydroxylase. phenylalanine hydroxylase.	FUNCTION: phenylalanine 4-monooxygenase. PAH. phenylalaninase. phenylalanine 4-hydroxylase. phenylalanine hydroxylase. The reaction involves an arene oxide which rearranges to give the phenolic hydroxy group. This results in the hydrogen at C-4 migrating to C-3 and in part being retained, a process known as the NIH-shift. The 4a-hydroxytetrahydrobiopterin formed can dehydrate to 6,7- dihydrobiopterin, both spontaneously and by the action of EC 4.2.1.96. The 6,7-dihydrobiopterin can be enzymically reduced back to tetrahydrobiopterin, by EC 1.5.1.34, or slowly rearranges into the more stable compound 7,8-dihydrobiopterin. Formerly EC 1.14.3.1 and EC 1.99.1.2.
27	FUNCTION: tRNA (adenine(58)-N(1))-methyltransferase. tRNA (m(1)A(58)) methyltransferase. tRNA m(1)A(58) methyltransferase.	FUNCTION: tRNA (adenine(58)-N(1))-methyltransferase. tRNA (m(1)A(58)) methyltransferase. tRNA m(1)A(58) methyltransferase. The enzyme specifically methylates adenine(58) in tRNA. The methylation of A(58) is critical for maintaining the stability of initiator tRNA(Met) in yeast. Formerly EC 2.1.1.36.
28	FUNCTION: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase. 4-diphosphocytidyl-2-C-methyl-D-erythritol synthase. MCT. MEP cytidylyltransferase.	FUNCTION: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase. 4-diphosphocytidyl-2-C-methyl-D-erythritol synthase. MCT. MEP cytidylyltransferase. ATP or UTP can replace CTP, but both are less effective. GTP and TTP are not substrates. Forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis.
29	FUNCTION: endopeptidase Clp. caseinolytic protease. endopeptidase Ti. protease Ti.	FUNCTION: endopeptidase Clp. caseinolytic protease. endopeptidase Ti. protease Ti. Belongs to peptidase family S14.
30	FUNCTION: 3-oxoacyl-[acyl-carrier-protein] reductase. 	FUNCTION: 3-oxoacyl-[acyl-carrier-protein] reductase.  Exhibits a marked preference for [acyl-carrier-protein] derivatives over CoA derivatives as substrates.
31	FUNCTION: nitrile hydratase. nitrilase. nitrile hydro-lyase.	FUNCTION: nitrile hydratase. nitrilase. nitrile hydro-lyase. Acts on short-chain aliphatic nitriles, converting them into the corresponding acid amides. Does not act on these amides or on aromatic nitriles (cf. EC 3.5.5.1).
32	FUNCTION: cysteine desulfurase. cysteine desulfurylase.	FUNCTION: cysteine desulfurase. cysteine desulfurylase. The sulfur from free L-cysteine is first transferred to a cysteine residue in the active site, and then passed on to various other acceptors. The enzyme is involved in the biosynthesis of iron-sulfur clusters, thio-nucleosides in tRNA, thiamine, biotin, lipoate and pyranopterin (molybdopterin). In Azotobacter vinelandii, this sulfur provides the inorganic sulfide required for nitrogenous metallocluster formation.
33	FUNCTION: microtubule-severing ATPase. katanin.	FUNCTION: microtubule-severing ATPase. katanin. A member of the AAA-ATPase family, active in splitting microtubules into tubulin dimers in the centrosome. Formerly EC 3.6.4.3.
34	FUNCTION: pectate lyase. alpha-1,4-D-endopolygalacturonic acid lyase. endo-alpha-1,4-polygalacturonic acid lyase. endogalacturonate transeliminase. endopectin methyltranseliminase. pectate transeliminase. pectic acid lyase. pectic acid transeliminase. pectic lyase. pectin trans-eliminase. PGA lyase. polygalacturonate lyase. polygalacturonic acid lyase. polygalacturonic acid trans-eliminase. polygalacturonic transeliminase. PPase-N.	FUNCTION: pectate lyase. alpha-1,4-D-endopolygalacturonic acid lyase. endo-alpha-1,4-polygalacturonic acid lyase. endogalacturonate transeliminase. endopectin methyltranseliminase. pectate transeliminase. pectic acid lyase. pectic acid transeliminase. pectic lyase. pectin trans-eliminase. PGA lyase. polygalacturonate lyase. polygalacturonic acid lyase. polygalacturonic acid trans-eliminase. polygalacturonic transeliminase. PPase-N. Favors pectate, the anion, over pectin, the methyl ester (which is the preferred substrate of EC 4.2.2.10). Formerly EC 4.2.99.3.
35	FUNCTION: 1,4-alpha-glucan branching enzyme. amylo-(1,4->1,6)-transglycosylase. amylo-(1,4 to 1,6)transglucosidase. branching enzyme. glycogen branching enzyme.	FUNCTION: 1,4-alpha-glucan branching enzyme. amylo-(1,4->1,6)-transglycosylase. amylo-(1,4 to 1,6)transglucosidase. branching enzyme. glycogen branching enzyme. Converts amylose into amylopectin. The description (official name) requires a qualification depending on the product, glycogen or amylopectin, e.g. glycogen branching enzyme, amylopectin branching enzyme. The latter has frequently been termed Q-enzyme.
36	FUNCTION: caspase-7. apoptotic protease Mch-3. CASP-7. CMH-1. ICE-LAP3. ICE-like apoptotic protease 3. Mch3.	FUNCTION: caspase-7. apoptotic protease Mch-3. CASP-7. CMH-1. ICE-LAP3. ICE-like apoptotic protease 3. Mch3. Caspase-7 is an effector/executioner caspase, as are caspase-3 (EC 3.4.22.56) and caspase-6 (EC 3.4.22.59). These caspases are responsible for the proteolysis of the majority of cellular polypeptides, [e.g. poly(ADP-ribose) polymerase (PARP)], which lead to the apoptotic phenotype. Although a hydrophobic residue at P5 of caspase-2 (EC 3.4.22.55) and caspase-3 leads to more efficient hydrolysis, the amino-acid residue at this location in caspase-7 has no effect. Caspase-7 is activated by the initiator caspases [caspase-8 (EC 3.4.22.61), caspase-9 (EC 3.4.22.62) and caspase-10 (EC 3.4.22.63)]. Removal of the N-terminal prodomain occurs before cleavage in the linker region between the large and small subunits. Belongs to peptidase family C14.
37	FUNCTION: acylphosphatase. acylphosphate phosphohydrolase.	FUNCTION: acylphosphatase. acylphosphate phosphohydrolase. 
38	FUNCTION: adenylosuccinate synthase. adenylosuccinate synthetase. IMP--aspartate ligase. succinoadenylic kinosynthetase.	FUNCTION: adenylosuccinate synthase. adenylosuccinate synthetase. IMP--aspartate ligase. succinoadenylic kinosynthetase. 
39	FUNCTION: arginine--tRNA ligase. arginine translase. arginyl-tRNA synthetase.	FUNCTION: arginine--tRNA ligase. arginine translase. arginyl-tRNA synthetase. 
40	FUNCTION: hydrogenase (acceptor). H2 producing hydrogenase. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.	FUNCTION: hydrogenase (acceptor). H2 producing hydrogenase. hydrogenlyase. hydrogen-lyase. uptake hydrogenase. Uses molecular hydrogen for the reduction of a variety of substances.
41	FUNCTION: DNA-(apurinic or apyrimidinic site) lyase. AP endonuclease class I. AP lyase. deoxyribonuclease (apurinic or apyrimidinic). E.coli endonuclease III. endodeoxyribonuclease (apurinic or apyrimidinic). Micrococcus luteus UV endonuclease. phage-T4 UV endonuclease.	FUNCTION: DNA-(apurinic or apyrimidinic site) lyase. AP endonuclease class I. AP lyase. deoxyribonuclease (apurinic or apyrimidinic). E.coli endonuclease III. endodeoxyribonuclease (apurinic or apyrimidinic). Micrococcus luteus UV endonuclease. phage-T4 UV endonuclease. 'Nicking' of the phosphodiester bond is due to a lyase-type reaction, not hydrolysis. This group of enzymes was previously listed as endonucleases, under the number EC 3.1.25.2. Formerly EC 3.1.25.2.
42	FUNCTION: alpha-amylase. glycogenase.	FUNCTION: alpha-amylase. glycogenase. Acts on starch, glycogen and related polysaccharides and oligosaccharides in a random manner; reducing groups are liberated in the alpha-configuration. The term 'alpha' relates to the initial anomeric configuration of the free sugar group released and not to the configuration of the linkage hydrolyzed.
43	FUNCTION: proline--tRNA ligase. proline translase. prolyl-tRNA synthetase.	FUNCTION: proline--tRNA ligase. proline translase. prolyl-tRNA synthetase. 
44	FUNCTION: F-actin monooxygenase. 	FUNCTION: F-actin monooxygenase.  The enzyme, characterized from the fruit fly Drosophila melanogaster, is a multi-domain oxidoreductase that acts as an F-actin disassembly factor. The enzyme selectively reduces two L-Met residues of F-actin, causing fragmentation of the filaments and preventing repolymerization. Free methionine is not a substrate. The reaction is stereospecific and generates the (R)-sulfoxide.
45	FUNCTION: xylan 1,4-beta-xylosidase. 1,4-beta-D-xylan xylohydrolase. beta-xylosidase. exo-1,4-beta-xylosidase. xylobiase.	FUNCTION: xylan 1,4-beta-xylosidase. 1,4-beta-D-xylan xylohydrolase. beta-xylosidase. exo-1,4-beta-xylosidase. xylobiase. Also hydrolyzes xylobiose. Some other exoglycosidase activities have been found associated with this enzyme in sheep liver.
46	FUNCTION: S-methyl-5-thioribose-1-phosphate isomerase. 1-phospho-5'-S-methylthioribose isomerase. 1-PMTR isomerase. 5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. 5-methylthioribose-1-phosphate isomerase. methylthioribose 1-phosphate isomerase. MTR-1-P isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase.	FUNCTION: S-methyl-5-thioribose-1-phosphate isomerase. 1-phospho-5'-S-methylthioribose isomerase. 1-PMTR isomerase. 5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. 5-methylthioribose-1-phosphate isomerase. methylthioribose 1-phosphate isomerase. MTR-1-P isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase. 
47	FUNCTION: uracil-DNA glycosylase. uracil DNA glycohydrolase. uracil-DNA N-glycosylase.	FUNCTION: uracil-DNA glycosylase. uracil DNA glycohydrolase. uracil-DNA N-glycosylase. Uracil-DNA glycosylases are widespread enzymes that are found in all living organisms. Uracil-DNA glycosylase (EC 3.2.2.27) and double-stranded uracil-DNA glycosylase (EC 3.2.2.28) form a central part of the DNA-repair machinery since they initiate the DNA base-excision repair pathway by hydrolyzing the N-glycosidic bond between uracil and the deoxyribose sugar thereby catalyzing the removal of mis-incorporated uracil from DNA.
48	FUNCTION: DNA-directed RNA polymerase. DNA-dependent RNA polymerase. RNA nucleotidyltransferase (DNA-directed). RNA polymerase I. RNA polymerase II. RNA polymerase III.	FUNCTION: DNA-directed RNA polymerase. DNA-dependent RNA polymerase. RNA nucleotidyltransferase (DNA-directed). RNA polymerase I. RNA polymerase II. RNA polymerase III. Catalyzes DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain de novo. In eukaryotes three forms of the enzyme have been distinguished on the basis of sensitivity of alpha-amanitin, and the type of RNA synthesized. See also EC 2.7.7.19 and EC 2.7.7.48.
49	FUNCTION: nitrogenase. 	FUNCTION: nitrogenase.  The enzyme is a complex of two components (namely dinitrogen reducatse and dinitrogenase). Dinitrogen reductase is a [4Fe-4S] protein, which, in the presence of two molecules of ATP, transfers an electron from ferredoxin to the dinitrogenase component. Dinitrogenase is a molybdenum-iron protein that reduces dinitrogen to two molecules of ammonia in three successive two-electron reductions via diazene and hydrazine. The reduction is initiated by formation of hydrogen in stoichiometric amounts. Acetylene is reduced to ethylene (but only very slowly to ethane), azide to nitrogen and ammonia, and cyanide to methane and ammonia. In the absence of a suitable substrate, hydrogen is slowly formed. Ferredoxin may be replaced by flavodoxin (see EC 1.19.6.1). The enzyme does not reduce CO (cf. EC 1.18.6.2). Formerly EC 1.18.2.1.
50	FUNCTION: phenylalanine--tRNA ligase. phenylalanine translase. phenylalanyl-tRNA synthetase.	FUNCTION: phenylalanine--tRNA ligase. phenylalanine translase. phenylalanyl-tRNA synthetase. 
51	FUNCTION: peptidase Do. high temperature requirement protease A. HrtA heat shock protein. protease Do.	FUNCTION: peptidase Do. high temperature requirement protease A. HrtA heat shock protein. protease Do. This serine endopeptidase is essential for the clearance of denatured or aggregated proteins from the inner-membrane and periplasmic space in Escherichia coli. Natural substrates of the enzyme include colicin A lysis protein, pilin subunits and MalS from E.coli. The enzyme has weak peptidase activity with casein and other non- native substrates. The peptidase acts as a chaperone at low temperatures but switches to a peptidase (heat shock protein) at higher temperatures. Molecular chaperones and peptidases control the folded state of proteins by recognizing hydrophobic stretches of polypeptide that become exposed by misfolding or unfolding. They then bind these hydrophobic substrates to prevent aggregation or assist in protein refolding. If attempts at refolding fail, then irreversibly damaged proteins are degraded by peptidases such as this enzyme. Belongs to peptidase family S1B.
52	FUNCTION: togavirin. NsP2 proteinase. Sindbis virus protease.	FUNCTION: togavirin. NsP2 proteinase. Sindbis virus protease. Once released, the core protein does not retain catalytic activity. Belongs to peptidase family S3.
53	FUNCTION: peroxidase. lactoperoxidase.	FUNCTION: peroxidase. lactoperoxidase. Heme proteins with histidine as proximal ligand. The iron in the resting enzyme is Fe(III). They also peroxidize non-phenolic substrates such as 3,3',5,5'-tetramethylbenzidine (TMB) and 2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) (ABTS). Certain peroxidases (e.g. lactoperoxidase, SBP) oxidize bromide, iodide and thiocyanate.
54	FUNCTION: dihydroorotase. carbamoylaspartic dehydrase. DHOase.	FUNCTION: dihydroorotase. carbamoylaspartic dehydrase. DHOase. 
55	FUNCTION: pancreatic ribonuclease. pancreatic RNase. ribonuclease I. RNase. RNase A. RNase I.	FUNCTION: pancreatic ribonuclease. pancreatic RNase. ribonuclease I. RNase. RNase A. RNase I. Specifically cleaves at the 3'-side of pyrimidine (uracil or cytosine) phosphate bonds in RNA. The reaction takes place in two steps, with the 2',3'-cyclic phosphodiester intermediates released from the enzyme at the completion of the first step. Hydrolysis of these cyclic compounds occurs at a much slower rate through a reversal of the first step, in which the -OH group of water substitutes for the 2'-OH group of the ribose used in the first step, and does not take place until essentially all the susceptible 3',5'-phosphodiester bonds have been cyclised. The enzyme can act as an endo- or exo ribonuclease. Formerly EC 2.7.7.16, EC 3.1.4.22 and EC 3.1.27.5.
56	FUNCTION: homoserine kinase. 	FUNCTION: homoserine kinase.  
