id	name
14	A cellulase. enzyme. This enzyme is also known as avicelase. beta-1,4-endoglucan hydrolase. beta-1,4-glucanase. carboxymethyl cellulase. celludextrinase. endo-1,4-beta-D-glucanase. endo-1,4-beta-D-glucanohydrolase. endo-1,4-beta-glucanase. endoglucanase.
15	A glucokinase. enzyme. This enzyme is also known as glucose kinase.
16	A palmitoyl-CoA hydrolase. enzyme. This enzyme is also known as long-chain fatty-acyl-CoA hydrolase.
17	A H(+)-transporting two-sector ATPase. enzyme. This enzyme is also known as ATP synthase. chloroplast ATPase. F0F1-ATPase. F1-ATPase. FoF1-ATPase. H(+)-transporting ATPase. H(+)-transporting ATP synthase. mitochondrial ATPase.
18	A cGMP-dependent protein kinase. enzyme. This enzyme is also known as 3':5'-cyclic GMP-dependent protein kinase. cGMP-dependent protein kinase Ibeta. guanosine 3':5'-cyclic monophosphate-dependent protein kinase. PKG. PKG 1alpha. PKG 1beta. PKG II.
19	A glucan 1,4-alpha-glucosidase. enzyme. This enzyme is also known as 4-alpha-D-glucan glucohydrolase. amyloglucosidase. exo-1,4-alpha-glucosidase. gamma-amylase. glucoamylase. lysosomal alpha-glucosidase.
20	A heme oxygenase (biliverdin-producing). enzyme. This enzyme is also known as heme oxidase. heme oxygenase. heme oxygenase (decyclizing).
21	A diaminopimelate decarboxylase. enzyme. This enzyme is also known as DAP decarboxylase. meso-2,6-diaminoheptanedioate carboxy-lyase.
22	A molybdopterin synthase. enzyme. This enzyme is also known as MPT synthase.
23	A beta-lactamase. enzyme. This enzyme is also known as cephalosporinase. penicillinase.
24	A guanylate cyclase. enzyme. This enzyme is also known as guanyl cyclase. guanylyl cyclase.
25	A threonine--tRNA ligase. enzyme. This enzyme is also known as threonine translase. threonyl-tRNA synthetase.
26	A phenylalanine 4-monooxygenase. enzyme. This enzyme is also known as PAH. phenylalaninase. phenylalanine 4-hydroxylase. phenylalanine hydroxylase.
27	A tRNA (adenine(58)-N(1))-methyltransferase. enzyme. This enzyme is also known as tRNA (m(1)A(58)) methyltransferase. tRNA m(1)A(58) methyltransferase.
28	A 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase. enzyme. This enzyme is also known as 4-diphosphocytidyl-2-C-methyl-D-erythritol synthase. MCT. MEP cytidylyltransferase.
29	A endopeptidase Clp. enzyme. This enzyme is also known as caseinolytic protease. endopeptidase Ti. protease Ti.
30	A 3-oxoacyl-[acyl-carrier-protein] reductase. enzyme.
31	A nitrile hydratase. enzyme. This enzyme is also known as nitrilase. nitrile hydro-lyase.
32	A cysteine desulfurase. enzyme. This enzyme is also known as cysteine desulfurylase.
33	A microtubule-severing ATPase. enzyme. This enzyme is also known as katanin.
34	A pectate lyase. enzyme. This enzyme is also known as alpha-1,4-D-endopolygalacturonic acid lyase. endo-alpha-1,4-polygalacturonic acid lyase. endogalacturonate transeliminase. endopectin methyltranseliminase. pectate transeliminase. pectic acid lyase. pectic acid transeliminase. pectic lyase. pectin trans-eliminase. PGA lyase. polygalacturonate lyase. polygalacturonic acid lyase. polygalacturonic acid trans-eliminase. polygalacturonic transeliminase. PPase-N.
35	A 1,4-alpha-glucan branching enzyme. enzyme. This enzyme is also known as amylo-(1,4->1,6)-transglycosylase. amylo-(1,4 to 1,6)transglucosidase. branching enzyme. glycogen branching enzyme.
36	A caspase-7. enzyme. This enzyme is also known as apoptotic protease Mch-3. CASP-7. CMH-1. ICE-LAP3. ICE-like apoptotic protease 3. Mch3.
37	A acylphosphatase. enzyme. This enzyme is also known as acylphosphate phosphohydrolase.
38	A adenylosuccinate synthase. enzyme. This enzyme is also known as adenylosuccinate synthetase. IMP--aspartate ligase. succinoadenylic kinosynthetase.
39	A arginine--tRNA ligase. enzyme. This enzyme is also known as arginine translase. arginyl-tRNA synthetase.
40	A hydrogenase (acceptor). enzyme. This enzyme is also known as H2 producing hydrogenase. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.
41	A DNA-(apurinic or apyrimidinic site) lyase. enzyme. This enzyme is also known as AP endonuclease class I. AP lyase. deoxyribonuclease (apurinic or apyrimidinic). E.coli endonuclease III. endodeoxyribonuclease (apurinic or apyrimidinic). Micrococcus luteus UV endonuclease. phage-T4 UV endonuclease.
42	A alpha-amylase. enzyme. This enzyme is also known as glycogenase.
43	A proline--tRNA ligase. enzyme. This enzyme is also known as proline translase. prolyl-tRNA synthetase.
44	A F-actin monooxygenase. enzyme.
45	A xylan 1,4-beta-xylosidase. enzyme. This enzyme is also known as 1,4-beta-D-xylan xylohydrolase. beta-xylosidase. exo-1,4-beta-xylosidase. xylobiase.
46	A S-methyl-5-thioribose-1-phosphate isomerase. enzyme. This enzyme is also known as 1-phospho-5'-S-methylthioribose isomerase. 1-PMTR isomerase. 5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. 5-methylthioribose-1-phosphate isomerase. methylthioribose 1-phosphate isomerase. MTR-1-P isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase.
47	A uracil-DNA glycosylase. enzyme. This enzyme is also known as uracil DNA glycohydrolase. uracil-DNA N-glycosylase.
48	A DNA-directed RNA polymerase. enzyme. This enzyme is also known as DNA-dependent RNA polymerase. RNA nucleotidyltransferase (DNA-directed). RNA polymerase I. RNA polymerase II. RNA polymerase III.
49	A nitrogenase. enzyme.
50	A phenylalanine--tRNA ligase. enzyme. This enzyme is also known as phenylalanine translase. phenylalanyl-tRNA synthetase.
51	A peptidase Do. enzyme. This enzyme is also known as high temperature requirement protease A. HrtA heat shock protein. protease Do.
52	A togavirin. enzyme. This enzyme is also known as NsP2 proteinase. Sindbis virus protease.
53	A peroxidase. enzyme. This enzyme is also known as lactoperoxidase.
54	A dihydroorotase. enzyme. This enzyme is also known as carbamoylaspartic dehydrase. DHOase.
55	A pancreatic ribonuclease. enzyme. This enzyme is also known as pancreatic RNase. ribonuclease I. RNase. RNase A. RNase I.
56	A homoserine kinase. enzyme.
57	A NADH:ubiquinone reductase (Na(+)-transporting). enzyme. This enzyme is also known as Na(+)-NQR. Na(+)-translocating NADH-quinone reductase.
58	A UMP kinase. enzyme. This enzyme is also known as UMPK. UMP-kinase. uridine monophosphate kinase. uridylate kinase.
59	A pullulanase. enzyme. This enzyme is also known as alpha-dextrin endo-1,6-alpha-glucosidase. amylopectin 6-glucanohydrolase. debranching enzyme. limit dextrinase. pullulan 6-glucanohydrolase.
60	A 3-phosphoshikimate 1-carboxyvinyltransferase. enzyme. This enzyme is also known as 3-enol-pyruvoylshikimate-5-phosphate synthase. 5-enolpyruvylshikimate-3-phosphate synthase. EPSP synthase.
61	A GTP cyclohydrolase I. enzyme.
62	A glutathione transferase. enzyme. This enzyme is also known as glutathione S-alkyltransferase. glutathione S-aralkyltransferase. glutathione S-aryltransferase. S-(hydroxyalkyl)glutathione lyase.
63	A pantothenate kinase. enzyme. This enzyme is also known as ATP:pantothenate 4'-phosphotransferase. D-pantothenate kinase. pantothenate kinase (phosphorylating). pantothenic acid kinase.
64	A guanylate kinase. enzyme. This enzyme is also known as deoxyguanylate kinase. GMP kinase. guanosine monophosphate kinase.
65	A orotidine-5'-phosphate decarboxylase. enzyme. This enzyme is also known as OMPdcase. OMP decarboxylase. orotidine-5'-phosphate carboxy-lyase. orotidylic decarboxylase. UMP synthase. uridine 5'-monophosphate synthase.
66	A UDP-N-acetylmuramate dehydrogenase. enzyme. This enzyme is also known as UDP-GlcNAc-enoylpyruvate reductase. UDP-N-acetylenolpyruvoylglucosamine reductase. UDP-N-acetylglucosamine-enoylpyruvate reductase. uridine diphosphoacetylpyruvoylglucosamine reductase. uridine diphospho-N-acetylglucosamine-enolpyruvate reductase.
67	A orotate phosphoribosyltransferase. enzyme. This enzyme is also known as OPRT. orotidine-5'-phosphate diphosphorylase. orotidine-5'-phosphate pyrophosphorylase. orotidylic acid phosphorylase.
68	A alcohol dehydrogenase. enzyme. This enzyme is also known as aldehyde reductase.
69	A diamine N-acetyltransferase. enzyme. This enzyme is also known as acetyl-coenzyme A-1,4-diaminobutane N-acetyltransferase. diamine acetyltransferase. putrescine (diamine)-acetylating enzyme. putrescine acetylase. putrescine acetyltransferase. putrescine N-acetyltransferase. spermidine acetyltransferase. spermidine N(1)-acetyltransferase.
70	A cysteine synthase. enzyme. This enzyme is also known as acetylserine sulfhydrylase. cysteine synthetase. O(3)-acetyl-L-serine acetate-lyase (adding hydrogen-sulfide). O-acetyl-L-serine sulfhydrylase. O-acetyl-L-serine sulfohydrolase. O-acetylserine (thiol)-lyase. O-acetylserine (thiol)-lyase A. O-acetylserine sulfhydrylase. OAS sulfhydrylase.
71	A nicotinate-nucleotide diphosphorylase (carboxylating). enzyme. This enzyme is also known as nicotinate-nucleotide pyrophosphorylase (carboxylating). quinolinate phosphoribosyltransferase (decarboxylating).
72	A ribonuclease T2. enzyme. This enzyme is also known as ribonuclease II.
73	A receptor protein serine/threonine kinase. enzyme. This enzyme is also known as activin receptor kinase. receptor serine/threonine protein kinase. receptor type II serine/threonine protein kinase. receptor type I serine/threonine protein kinase. TGF-beta kinase.
74	A ribokinase. enzyme.
75	A ATP citrate synthase. enzyme. This enzyme is also known as acetyl-CoA:oxaloacetate acetyltransferase (isomerizing; ADP- phosphorylating). adenosine triphosphate citrate lyase. ATP:citrate oxaloacetate-lyase [(pro-S)-CH2COO(-)->acetyl-CoA] (ATP- dephosphorylating). ATP citrate (pro-S)-lyase. ATP-citrate (pro-S-)-lyase. ATP-citric lyase. citrate-ATP lyase. citrate cleavage enzyme. citric cleavage enzyme.
76	A protein kinase C. enzyme. This enzyme is also known as calcium/phospholipid dependent protein kinase. calcium-dependent protein kinase C. calcium-independent protein kinase C. cPKC. nPKC. PKC.
77	A mannan-binding lectin-associated serine protease-2. enzyme. This enzyme is also known as mannan-binding lectin-associated serine peptidase 2. mannose-binding lectin-associated serine protease-2. MASP2. MASP-2. MBP-associated serine protease-2.
78	A UTP--glucose-1-phosphate uridylyltransferase. enzyme. This enzyme is also known as glucose-1-phosphate uridylyltransferase. UDP-glucose diphosphorylase. UDP-glucose pyrophosphorylase.
79	A DNA topoisomerase. enzyme. This enzyme is also known as DNA topoisomerase I. nicking-closing enzyme. omega-protein. relaxing enzyme. swivelase. type I DNA topoisomerase. untwisting enzyme.
80	A indole-3-glycerol-phosphate synthase. enzyme. This enzyme is also known as indoleglycerol phosphate synthetase.
81	A ATP phosphoribosyltransferase. enzyme. This enzyme is also known as phosphoribosyl-ATP diphosphorylase. phosphoribosyl-ATP pyrophosphorylase.
82	A dihydroorotate dehydrogenase (quinone). enzyme. This enzyme is also known as DHOD. DHOdehase. DHODH.
83	A nucleoside-diphosphate kinase. enzyme. This enzyme is also known as NDK. nucleoside 5'-diphosphate phosphotransferase. nucleoside diphosphokinase.
84	A protein-tyrosine-phosphatase. enzyme. This enzyme is also known as phosphotyrosine phosphatase. PTPase.
85	A histone acetyltransferase. enzyme. This enzyme is also known as lysine acetyltransferase. protein lysine acetyltransferase.
86	A alcohol dehydrogenase (NADP(+)). enzyme. This enzyme is also known as aldehyde reductase (NADPH).
87	A cyclin-dependent kinase. enzyme. This enzyme is also known as cdc2 kinase. cdk-activating kinase. Cdk-activating protein kinase.
88	A cystathionine beta-synthase. enzyme. This enzyme is also known as beta-thionase. methylcysteine synthase. serine sulfhydrase.
89	A protein disulfide-isomerase. enzyme. This enzyme is also known as S-S rearrangase.
90	A glutaminase. enzyme. This enzyme is also known as L-glutamine amidohydrolase.
91	A DNA topoisomerase (ATP-hydrolyzing). enzyme. This enzyme is also known as DNA gyrase. DNA topoisomerase II. type II DNA topoisomerase.
92	A tyrosine--tRNA ligase. enzyme. This enzyme is also known as L-tyrosine-tRNA(Tyr) ligase (AMP-forming). tyrosine-transfer ribonucleate synthetase. tyrosine-transfer RNA ligase. tyrosine translase. tyrosine tRNA synthetase. tyrosyl-transfer ribonucleate synthetase. tyrosyl-transfer ribonucleic acid synthetase. tyrosyl-transfer RNA synthetase. tyrosyl-tRNA ligase. tyrosyl-tRNA synthetase.
93	A proton-translocating NAD(P)(+) transhydrogenase. enzyme.
94	A 3'(2'),5'-bisphosphate nucleotidase. enzyme. This enzyme is also known as 3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase. 3'-phosphoadenylylsulfate 3'-phosphatase. DPNPase. phosphoadenylate 3'-nucleotidase.
95	A 4a-hydroxytetrahydrobiopterin dehydratase. enzyme. This enzyme is also known as 4alpha-hydroxy-tetrahydropterin dehydratase. pterin-4alpha-carbinolamine dehydratase. tetrahydrobiopterin dehydratase.
96	A aspartate 1-decarboxylase. enzyme. This enzyme is also known as aspartate alpha-decarboxylase. L-aspartate 1-carboxy-lyase.
97	A aspartate kinase. enzyme. This enzyme is also known as aspartokinase.
98	A Transferred entry: 7.1.2.2. enzyme.
99	A glycogen phosphorylase. enzyme. This enzyme is also known as amylophosphorylase. muscle phosphorylase a and b. polyphosphorylase.
100	A ferredoxin hydrogenase. enzyme. This enzyme is also known as bidirectional hydrogenase. H2 oxidizing hydrogenase. H2 producing hydrogenase. hydrogenase. hydrogenase (ferredoxin). hydrogenase I. hydrogenase II. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.
101	A FMN-dependent NADH-azoreductase. enzyme.
102	A mannan endo-1,4-beta-mannosidase. enzyme. This enzyme is also known as beta-mannanase. endo-1,4-mannanase.
103	A (S)-2-haloacid dehalogenase. enzyme. This enzyme is also known as 2-haloacid dehalogenase. 2-haloacid halidohydrolase. 2-haloalkanoic acid dehalogenase. 2-haloalkanoid acid halidohydrolase. 2-halocarboxylic acid dehalogenase II. DL-2-haloacid dehalogenase. halocarboxylic acid halidohydrolase. L-2-haloacid dehalogenase. L-DEX.
104	A phosphoserine transaminase. enzyme. This enzyme is also known as 3-phosphoserine aminotransferase. 3PHP transaminase. hydroxypyruvic phosphate--glutamic transaminase. L-phosphoserine aminotransferase. phosphohydroxypyruvate transaminase. phosphohydroxypyruvic--glutamic transaminase. phosphoserine aminotransferase. PSAT.
105	A D-aminoacyl-tRNA deacylase. enzyme. This enzyme is also known as D-tyrosyl-tRNA(Tyr) aminoacylhydrolase. D-Tyr-tRNA(Tyr) deacylase.
106	A nicotinate-nucleotide adenylyltransferase. enzyme. This enzyme is also known as Deamido-NAD(+) diphosphorylase. deamido-NAD(+) pyrophosphorylase.
107	A alanine--tRNA ligase. enzyme. This enzyme is also known as alanine translase. alanyl-tRNA synthetase.
108	A dihydropteroate synthase. enzyme. This enzyme is also known as DHPS. dihydropteroate diphosphorylase. dihydropteroate pyrophosphorylase.
109	A phosphoribosylglycinamide formyltransferase 1. enzyme. This enzyme is also known as 2-amino-N-ribosylacetamide 5'-phosphate transformylase. 5,10-methenyltetrahydrofolate:2-amino-N-ribosylacetamide ribonucleotide transformylase. 5'-phosphoribosylglycinamide transformylase. GAR formyltransferase. GART. GAR TFase. GAR transformylase. glycinamide ribonucleotide transformylase.
110	A aminoglycoside N(3)-acetyltransferase. enzyme. This enzyme is also known as 3-aminoglycoside acetyltransferase. aminoglycoside 3-N-acetyltransferase.
111	A alpha-glucosidase. enzyme. This enzyme is also known as acid maltase. glucoinvertase. glucosidosucrase. lysosomal alpha-glucosidase. maltase. maltase-glucoamylase.
112	A thymidylate synthase (FAD). enzyme. This enzyme is also known as FDTS. flavin dependent thymidylate synthase.
113	A membrane alanyl aminopeptidase. enzyme. This enzyme is also known as amino-oligopeptidase. aminopeptidase M. aminopeptidase N. membrane alanine aminopeptidase. membrane aminopeptidase I. microsomal aminopeptidase. particle-bound aminopeptidase. peptidase E.
114	A Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45. enzyme.
115	A non-reducing end alpha-L-arabinofuranosidase. enzyme. This enzyme is also known as alpha-L-arabinofuranosidase. arabinofuranosidase. arabinosidase.
116	A N-acetylneuraminate lyase. enzyme. This enzyme is also known as N-acetylneuraminate pyruvate-lyase. N-acetylneuraminic acid aldolase.
117	A methylated-DNA--[protein]-cysteine S-methyltransferase. enzyme. This enzyme is also known as 6-O-methylguanine-DNA methyltransferase. O-6-methylguanine-DNA-alkyltransferase.
118	A protein-serine/threonine phosphatase. enzyme. This enzyme is also known as protein phosphatase-1. protein phosphatase-2A. protein phosphatase-2B. protein phosphatase-2C. serine/threonine specific protein phosphatase.
119	A bontoxilysin. enzyme. This enzyme is also known as botulinum neurotoxin.
120	A carbonyl reductase (NADPH). enzyme. This enzyme is also known as aldehyde reductase I. NADPH-dependent carbonyl reductase. prostaglandin 9-ketoreductase. xenobiotic ketone reductase.
121	A glutaminyl-peptide cyclotransferase. enzyme. This enzyme is also known as glutaminyl cyclase. glutaminyl-tRNA cyclotransferase.
122	A lactoylglutathione lyase. enzyme. This enzyme is also known as (R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing). aldoketomutase. glyoxalase I. ketone-aldehyde mutase. methylglyoxalase.
123	A glutamate--tRNA ligase. enzyme. This enzyme is also known as glutamic acid translase. glutamyl-tRNA synthetase.
124	A aspartate-semialdehyde dehydrogenase. enzyme. This enzyme is also known as ASA dehydrogenase. aspartic semialdehyde dehydrogenase. L-aspartate-beta-semialdehyde dehydrogenase.
125	A glutamate decarboxylase. enzyme. This enzyme is also known as L-glutamate 1-carboxy-lyase.
126	A holo-[acyl-carrier-protein] synthase. enzyme. This enzyme is also known as 4'-phosphopantetheinyl transferase. ACPS. acyl carrier protein holoprotein (holo-ACP) synthetase. acyl carrier protein synthase. acyl carrier protein synthetase. alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase. holo-ACP synthase. holo-ACP synthetase. holosynthase. L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase. P-pant transferase. PPTase.
127	A tRNA (guanine(37)-N(1))-methyltransferase. enzyme. This enzyme is also known as transfer RNA (m(1)G(37)) methyltransferase. tRNA (m(1)G(37)) methyltransferase. tRNA-(N(1)G37) methyltransferase.
128	A diguanylate cyclase. enzyme. This enzyme is also known as DGC.
129	A protein adenylyltransferase. enzyme. This enzyme is also known as AMPylase.
130	A dTDP-4-dehydrorhamnose 3,5-epimerase. enzyme. This enzyme is also known as dTDP-4-keto-6-deoxyglucose 3,5-epimerase. dTDP-L-rhamnose synthetase. thymidine diphospho-4-ketorhamnose 3,5-epimerase.
131	A leucyl aminopeptidase. enzyme. This enzyme is also known as cytosol aminopeptidase. leucine aminopeptidase. peptidase S.
132	A anthranilate synthase. enzyme.
133	A (2E,6E)-farnesyl diphosphate synthase. enzyme. This enzyme is also known as farnesyl-diphosphate synthase. farnesyl pyrophosphate synthetase. FPP synthetase. geranyltranstransferase.
134	A 1-deoxy-D-xylulose-5-phosphate reductoisomerase. enzyme. This enzyme is also known as 1-deoxyxylulose-5-phosphate reductoisomerase. DXP-reductoisomerase.
135	A haloalkane dehalogenase. enzyme. This enzyme is also known as 1-chlorohexane halidohydrolase.
136	A exo-alpha-sialidase. enzyme. This enzyme is also known as alpha-neuraminidase. N-acylneuraminate glycohydrolase. neuraminidase. sialidase.
137	A coagulation factor VIIa. enzyme.
138	A beta-glucosidase. enzyme. This enzyme is also known as amygdalase. beta-D-glucoside glucohydrolase. cellobiase. gentobiase.
139	A 3',5'-cyclic-AMP phosphodiesterase. enzyme. This enzyme is also known as cAMP-specific PDE. cAMP-specific phosphodiesterase.
140	A 2-dehydropantoate 2-reductase. enzyme. This enzyme is also known as ketopantoate reductase. ketopantoic acid reductase. KPA reductase.
141	A inorganic diphosphatase. enzyme. This enzyme is also known as diphosphate phosphohydrolase. inorganic pyrophosphatase. pyrophosphate phosphohydrolase.
142	A adenosylmethionine decarboxylase. enzyme. This enzyme is also known as S-adenosyl-L-methionine carboxy-lyase. S-adenosyl-L-methionine decarboxylase.
143	A enoyl-[acyl-carrier-protein] reductase (NADH). enzyme. This enzyme is also known as enoyl-ACP reductase. NADH-enoyl acyl carrier protein reductase. NADH-specific enoyl-ACP reductase.
144	A tryptophan--tRNA ligase. enzyme. This enzyme is also known as L-tryptophan-tRNA(Trp) ligase (AMP-forming). TrpRS. tryptophan translase. tryptophanyl ribonucleic synthetase. tryptophanyl-transfer ribonucleate synthetase. tryptophanyl-transfer ribonucleic acid synthetase. tryptophanyl-transfer ribonucleic synthetase. tryptophanyl-transfer RNA synthetase. tryptophanyl-tRNA synthase. tryptophanyl-tRNA synthetase.
145	A arginase. enzyme. This enzyme is also known as arginine amidinase. canavanase.
146	A beta-agarase. enzyme. This enzyme is also known as agarase. endo-beta-agarase.
147	A ribulose-bisphosphate carboxylase. enzyme. This enzyme is also known as carboxydismutase. diphosphoribulose carboxylase. D-ribulose-1,5-bisphosphate carboxylase. D-ribulose 1,5-diphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase/oxygenase. ribulose 1,5-diphosphate carboxylase. ribulose 1,5-diphosphate carboxylase/oxygenase. ribulose bisphosphate carboxylase/oxygenase. ribulose diphosphate carboxylase. ribulose diphosphate carboxylase/oxygenase. RuBisCO. RuBP carboxylase.
148	A P-type Ca(2+) transporter. enzyme. This enzyme is also known as Ca(2+)-transporting ATPase. calcium pump. calcium-translocating P-type ATPase.
149	A vesicle-fusing ATPase. enzyme.
150	A 3-deoxy-manno-octulosonate-8-phosphatase. enzyme.
151	A Transferred entry: 5.6.1.8. enzyme.
152	A quinol--cytochrome-c reductase. enzyme. This enzyme is also known as complex III (mitochondrial electron transport). cytochrome bc1 complex. ubiquinol--cytochrome-c reductase. ubiquinone--cytochrome-c oxidoreductase.
153	A small monomeric GTPase. enzyme.
154	A adenosine deaminase. enzyme. This enzyme is also known as adenosine aminohydrolase.
155	A E2 ubiquitin-conjugating enzyme. enzyme. This enzyme is also known as ubiquitin-carrier-protein E2. ubiquitin-conjugating enzyme E2.
156	A shikimate kinase. enzyme.
157	A Transferred entry: 7.1.2.2. enzyme.
158	A aspartate transaminase. enzyme. This enzyme is also known as aspartate aminotransferase. glutamic--aspartic transaminase. glutamic--oxaloacetic transaminase. transaminase A.
159	A complement subcomponent C1r. enzyme.
160	A arginine decarboxylase. enzyme. This enzyme is also known as L-arginine carboxy-lyase.
161	A anthranilate phosphoribosyltransferase. enzyme. This enzyme is also known as phosphoribosyl-anthranilate diphosphorylase. phosphoribosyl-anthranilate pyrophosphorylase.
162	A superoxide dismutase. enzyme.
163	A aspartate--tRNA ligase. enzyme. This enzyme is also known as aspartic acid translase. aspartyl-tRNA synthetase.
164	A mitogen-activated protein kinase kinase kinase. enzyme. This enzyme is also known as MAP3K. MAP kinase kinase kinase. MAPKKK. MEKK. MEK kinase. MLK-like mitogen-activated protein triple kinase. MLTK.
165	A 4-hydroxy-tetrahydrodipicolinate synthase. enzyme. This enzyme is also known as DHDPS. dihydrodipicolinate synthetase.
166	A dihydrofolate reductase. enzyme. This enzyme is also known as tetrahydrofolate dehydrogenase.
167	A leucine--tRNA ligase. enzyme. This enzyme is also known as leucine translase. leucyl-tRNA synthetase.
168	A ADP-ribose diphosphatase. enzyme. This enzyme is also known as adenosine diphosphoribose pyrophosphatase. ADP-ribose phosphohydrolase. ADP-ribose pyrophosphatase. ADP-ribose ribophosphohydrolase. ADPR-PPase.
169	A acetate kinase. enzyme. This enzyme is also known as acetate kinase (phosphorylating). acetic kinase. acetokinase. AK.
170	A dihydroneopterin aldolase. enzyme. This enzyme is also known as 2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- dihydropteridine glycolaldehyde-lyase. 7,8-dihydroneopterin aldolase.
171	A tRNA-intron lyase. enzyme. This enzyme is also known as tRNA splicing endonuclease.
172	A methionine synthase. enzyme. This enzyme is also known as 5-methyltetrahydrofolate--homocysteine S-methyltransferase. 5-methyltetrahydrofolate--homocysteine transmethylase. B12 N(5)-methyltetrahydrofolate homocysteine methyltransferase. cobalamin-dependent methionine synthase. methionine synthase (cobalamin-dependent). methionine synthetase. methyltetrahydrofolate--homocysteine vitamin B12 methyltransferase. N(5)-methyltetrahydrofolate--homocysteine cobalamin methyltransferase. N(5)-methyltetrahydrofolate methyltransferase. N(5)-methyltetrahydrofolic--homocysteine vitamin B12 transmethylase. N-methyltetrahydrofolate:L-homocysteine methyltransferase. tetrahydrofolate methyltransferase. tetrahydropteroylglutamate methyltransferase. tetrahydropteroylglutamic methyltransferase. vitamin B12 methyltransferase.
173	A dTMP kinase. enzyme. This enzyme is also known as thymidylate kinase. thymidylic acid kinase. TMPK.
174	A fructose-bisphosphate aldolase. enzyme. This enzyme is also known as aldolase. D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase. fructose-1,6-bisphosphate triosephosphate-lyase.
175	A phospholipase A2. enzyme. This enzyme is also known as lecithinase A. phosphatidase. phosphatidolipase. phosphatidylcholine 2-acylhydrolase.
176	A beta-N-acetylhexosaminidase. enzyme. This enzyme is also known as beta-hexosaminidase. hexosaminidase. N-acetyl-beta-glucosaminidase.
177	A homoserine dehydrogenase. enzyme.
178	A carbonic anhydrase. enzyme. This enzyme is also known as carbonate dehydratase. carbonate hydro-lyase. carbonic dehydratase.
179	A carboxypeptidase Taq. enzyme. This enzyme is also known as carboxypeptidase 1.
180	A HECT-type E3 ubiquitin transferase. enzyme. This enzyme is also known as HECT E3 ligase. ubiquitin transferase HECT-E3.
181	A alpha-mannosidase. enzyme.
182	A hydroxyisourate hydrolase. enzyme. This enzyme is also known as 5-hydroxyisourate hydrolase. HIUHase.
