id	EC_number	hier1	hier2	hier3	name	comment	alter_name
34	4.2.2.2	Lyases.	Carbon-oxygen lyases.	Acting on polysaccharides.	pectate lyase.	Favors pectate, the anion, over pectin, the methyl ester (which is the preferred substrate of EC 4.2.2.10). Formerly EC 4.2.99.3.	alpha-1,4-D-endopolygalacturonic acid lyase. endo-alpha-1,4-polygalacturonic acid lyase. endogalacturonate transeliminase. endopectin methyltranseliminase. pectate transeliminase. pectic acid lyase. pectic acid transeliminase. pectic lyase. pectin trans-eliminase. PGA lyase. polygalacturonate lyase. polygalacturonic acid lyase. polygalacturonic acid trans-eliminase. polygalacturonic transeliminase. PPase-N.
35	2.4.1.18	Transferases.	Glycosyltransferases.	Hexosyltransferases.	1,4-alpha-glucan branching enzyme.	Converts amylose into amylopectin. The description (official name) requires a qualification depending on the product, glycogen or amylopectin, e.g. glycogen branching enzyme, amylopectin branching enzyme. The latter has frequently been termed Q-enzyme.	amylo-(1,4->1,6)-transglycosylase. amylo-(1,4 to 1,6)transglucosidase. branching enzyme. glycogen branching enzyme.
36	3.4.22.60	Hydrolases.	Acting on peptide bonds (peptidases).	Cysteine endopeptidases.	caspase-7.	Caspase-7 is an effector/executioner caspase, as are caspase-3 (EC 3.4.22.56) and caspase-6 (EC 3.4.22.59). These caspases are responsible for the proteolysis of the majority of cellular polypeptides, [e.g. poly(ADP-ribose) polymerase (PARP)], which lead to the apoptotic phenotype. Although a hydrophobic residue at P5 of caspase-2 (EC 3.4.22.55) and caspase-3 leads to more efficient hydrolysis, the amino-acid residue at this location in caspase-7 has no effect. Caspase-7 is activated by the initiator caspases [caspase-8 (EC 3.4.22.61), caspase-9 (EC 3.4.22.62) and caspase-10 (EC 3.4.22.63)]. Removal of the N-terminal prodomain occurs before cleavage in the linker region between the large and small subunits. Belongs to peptidase family C14.	apoptotic protease Mch-3. CASP-7. CMH-1. ICE-LAP3. ICE-like apoptotic protease 3. Mch3.
37	3.6.1.7	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	acylphosphatase.		acylphosphate phosphohydrolase.
38	6.3.4.4	Ligases.	Forming carbon-nitrogen bonds.	Other carbon--nitrogen ligases.	adenylosuccinate synthase.		adenylosuccinate synthetase. IMP--aspartate ligase. succinoadenylic kinosynthetase.
39	6.1.1.19	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	arginine--tRNA ligase.		arginine translase. arginyl-tRNA synthetase.
40	1.12.99.6	Oxidoreductases.	Acting on hydrogen as donors.	With other acceptors.	hydrogenase (acceptor).	Uses molecular hydrogen for the reduction of a variety of substances.	H2 producing hydrogenase. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.
41	4.2.99.18	Lyases.	Carbon-oxygen lyases.	Other carbon-oxygen lyases.	DNA-(apurinic or apyrimidinic site) lyase.	'Nicking' of the phosphodiester bond is due to a lyase-type reaction, not hydrolysis. This group of enzymes was previously listed as endonucleases, under the number EC 3.1.25.2. Formerly EC 3.1.25.2.	AP endonuclease class I. AP lyase. deoxyribonuclease (apurinic or apyrimidinic). E.coli endonuclease III. endodeoxyribonuclease (apurinic or apyrimidinic). Micrococcus luteus UV endonuclease. phage-T4 UV endonuclease.
42	3.2.1.1	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	alpha-amylase.	Acts on starch, glycogen and related polysaccharides and oligosaccharides in a random manner; reducing groups are liberated in the alpha-configuration. The term 'alpha' relates to the initial anomeric configuration of the free sugar group released and not to the configuration of the linkage hydrolyzed.	glycogenase.
43	6.1.1.15	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	proline--tRNA ligase.		proline translase. prolyl-tRNA synthetase.
44	1.14.13.225	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With NADH or NADPH as one donor, and incorporation of one atom of oxygen.	F-actin monooxygenase.	The enzyme, characterized from the fruit fly Drosophila melanogaster, is a multi-domain oxidoreductase that acts as an F-actin disassembly factor. The enzyme selectively reduces two L-Met residues of F-actin, causing fragmentation of the filaments and preventing repolymerization. Free methionine is not a substrate. The reaction is stereospecific and generates the (R)-sulfoxide.	
45	3.2.1.37	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	xylan 1,4-beta-xylosidase.	Also hydrolyzes xylobiose. Some other exoglycosidase activities have been found associated with this enzyme in sheep liver.	1,4-beta-D-xylan xylohydrolase. beta-xylosidase. exo-1,4-beta-xylosidase. xylobiase.
46	5.3.1.23	Isomerases.	Intramolecular oxidoreductases.	Interconverting aldoses and ketoses.	S-methyl-5-thioribose-1-phosphate isomerase.		1-phospho-5'-S-methylthioribose isomerase. 1-PMTR isomerase. 5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. 5-methylthioribose-1-phosphate isomerase. methylthioribose 1-phosphate isomerase. MTR-1-P isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase. S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase. S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase.
47	3.2.2.27	Hydrolases.	Glycosylases.	Hydrolyzing N-glycosyl compounds.	uracil-DNA glycosylase.	Uracil-DNA glycosylases are widespread enzymes that are found in all living organisms. Uracil-DNA glycosylase (EC 3.2.2.27) and double-stranded uracil-DNA glycosylase (EC 3.2.2.28) form a central part of the DNA-repair machinery since they initiate the DNA base-excision repair pathway by hydrolyzing the N-glycosidic bond between uracil and the deoxyribose sugar thereby catalyzing the removal of mis-incorporated uracil from DNA.	uracil DNA glycohydrolase. uracil-DNA N-glycosylase.
48	2.7.7.6	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	DNA-directed RNA polymerase.	Catalyzes DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain de novo. In eukaryotes three forms of the enzyme have been distinguished on the basis of sensitivity of alpha-amanitin, and the type of RNA synthesized. See also EC 2.7.7.19 and EC 2.7.7.48.	DNA-dependent RNA polymerase. RNA nucleotidyltransferase (DNA-directed). RNA polymerase I. RNA polymerase II. RNA polymerase III.
49	1.18.6.1	Oxidoreductases.	Acting on iron-sulfur proteins as donors.	With dinitrogen as acceptor.	nitrogenase.	The enzyme is a complex of two components (namely dinitrogen reducatse and dinitrogenase). Dinitrogen reductase is a [4Fe-4S] protein, which, in the presence of two molecules of ATP, transfers an electron from ferredoxin to the dinitrogenase component. Dinitrogenase is a molybdenum-iron protein that reduces dinitrogen to two molecules of ammonia in three successive two-electron reductions via diazene and hydrazine. The reduction is initiated by formation of hydrogen in stoichiometric amounts. Acetylene is reduced to ethylene (but only very slowly to ethane), azide to nitrogen and ammonia, and cyanide to methane and ammonia. In the absence of a suitable substrate, hydrogen is slowly formed. Ferredoxin may be replaced by flavodoxin (see EC 1.19.6.1). The enzyme does not reduce CO (cf. EC 1.18.6.2). Formerly EC 1.18.2.1.	
50	6.1.1.20	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	phenylalanine--tRNA ligase.		phenylalanine translase. phenylalanyl-tRNA synthetase.
51	3.4.21.107	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	peptidase Do.	This serine endopeptidase is essential for the clearance of denatured or aggregated proteins from the inner-membrane and periplasmic space in Escherichia coli. Natural substrates of the enzyme include colicin A lysis protein, pilin subunits and MalS from E.coli. The enzyme has weak peptidase activity with casein and other non- native substrates. The peptidase acts as a chaperone at low temperatures but switches to a peptidase (heat shock protein) at higher temperatures. Molecular chaperones and peptidases control the folded state of proteins by recognizing hydrophobic stretches of polypeptide that become exposed by misfolding or unfolding. They then bind these hydrophobic substrates to prevent aggregation or assist in protein refolding. If attempts at refolding fail, then irreversibly damaged proteins are degraded by peptidases such as this enzyme. Belongs to peptidase family S1B.	high temperature requirement protease A. HrtA heat shock protein. protease Do.
52	3.4.21.90	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	togavirin.	Once released, the core protein does not retain catalytic activity. Belongs to peptidase family S3.	NsP2 proteinase. Sindbis virus protease.
53	1.11.1.7	Oxidoreductases.	Acting on a peroxide as acceptor.	Peroxidases.	peroxidase.	Heme proteins with histidine as proximal ligand. The iron in the resting enzyme is Fe(III). They also peroxidize non-phenolic substrates such as 3,3',5,5'-tetramethylbenzidine (TMB) and 2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) (ABTS). Certain peroxidases (e.g. lactoperoxidase, SBP) oxidize bromide, iodide and thiocyanate.	lactoperoxidase.
54	3.5.2.3	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amides.	dihydroorotase.		carbamoylaspartic dehydrase. DHOase.
55	4.6.1.18	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	pancreatic ribonuclease.	Specifically cleaves at the 3'-side of pyrimidine (uracil or cytosine) phosphate bonds in RNA. The reaction takes place in two steps, with the 2',3'-cyclic phosphodiester intermediates released from the enzyme at the completion of the first step. Hydrolysis of these cyclic compounds occurs at a much slower rate through a reversal of the first step, in which the -OH group of water substitutes for the 2'-OH group of the ribose used in the first step, and does not take place until essentially all the susceptible 3',5'-phosphodiester bonds have been cyclised. The enzyme can act as an endo- or exo ribonuclease. Formerly EC 2.7.7.16, EC 3.1.4.22 and EC 3.1.27.5.	pancreatic RNase. ribonuclease I. RNase. RNase A. RNase I.
56	2.7.1.39	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	homoserine kinase.		
57	7.2.1.1	Translocases.	Catalysing the translocation of inorganic cations.	Linked to oxidoreductase reactions.	NADH:ubiquinone reductase (Na(+)-transporting).	An iron-sulfur flavoprotein, containing two covalently bound molecules of FMN, one non-covalently bound FAD, one riboflavin, and one [2Fe-2S] cluster. Formerly EC 1.6.5.8.	Na(+)-NQR. Na(+)-translocating NADH-quinone reductase.
58	2.7.4.22	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a phosphate group as acceptor.	UMP kinase.	Strictly specific for UMP as substrate and is used by prokaryotes in the de novo synthesis of pyrimidines, in contrast to eukaryotes, which use the dual-specificity enzyme EC 2.7.4.14 for the same purpose. Subject of feedback regulation, being inhibited by UTP and activated by GTP.	UMPK. UMP-kinase. uridine monophosphate kinase. uridylate kinase.
59	3.2.1.41	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	pullulanase.	Different from EC 3.2.1.142 in its action on glycogen, and its rate of hydrolysis of limit dextrins. Its action on amylopectin is complete. Maltose is the smallest sugar that it can release from an alpha- (1->6)-linkage. Formerly EC 3.2.1.69.	alpha-dextrin endo-1,6-alpha-glucosidase. amylopectin 6-glucanohydrolase. debranching enzyme. limit dextrinase. pullulan 6-glucanohydrolase.
60	2.5.1.19	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	3-phosphoshikimate 1-carboxyvinyltransferase.		3-enol-pyruvoylshikimate-5-phosphate synthase. 5-enolpyruvylshikimate-3-phosphate synthase. EPSP synthase.
61	3.5.4.16	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amidines.	GTP cyclohydrolase I.	The reaction involves hydrolysis of two C-N bonds and isomerization of the pentose unit; the recyclization may be non-enzymic. Involved in the de novo synthesis of tetrahydrobiopterin from GTP, with the other enzymes involved being EC 1.1.1.153 and EC 4.2.3.12.	
62	2.5.1.18	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	glutathione transferase.	A group of enzymes of broad specificity. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group. Also catalyzes the addition of aliphatic epoxides and arene oxides to glutathione, the reduction of polyol nitrate by glutathione to polyol and nitrile, certain isomerization reactions and disulfide interchange. Formerly EC 1.8.6.1, EC 2.5.1.12, EC 2.5.1.13, EC 2.5.1.14 and EC 4.4.1.7.	glutathione S-alkyltransferase. glutathione S-aralkyltransferase. glutathione S-aryltransferase. S-(hydroxyalkyl)glutathione lyase.
